constructorId,name,nationality,url
160,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
161,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
162,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
163,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
164,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
166,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
167,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
168,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
169,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
170,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
171,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
172,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
173,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
174,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
175,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
176,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
177,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
178,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
179,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
180,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
181,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
182,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
183,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
184,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
185,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
186,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
187,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
188,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
189,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
190,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
191,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
192,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
193,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
194,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
195,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
196,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
197,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM
198,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
199,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering
200,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering
201,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus
202,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
203,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
204,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
205,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
206,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
207,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
208,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
209,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
210,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
211,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
213,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
214,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
